,description
17002,Great location to commute to the superbowl. Two subway stops away from Penn Station and Port Authority!
17264,"Beautiful charming pre-war Central Park apartment 2BR 1.5Baths -steps to Central Park -high ceilings -super sunny - REAL two bedroom with a separate living room and a separate kitchen and 1.5 bathrooms -1000 square feet -1 full bathroom with sink tub toilet and 1 smaller bathroom without a tub -dining area and kitchen -elevator -sleeping options are bedroom 1 has 1 queen bed (sleeps 2), bedroom 2 has futon (sleeps 2), living room has 1 sofa bed and 1 chaise and 2 airbeds (sleeps 2) original mouldings! high ceilings! art on the walls! gorgeous, pre-war, glamorous NYC living at its best in the top neighborhood in all of NYC (Central Park South area also known as Midtown West and Times Square North) please note this is a 100+ year old building so some of that ""old charm"" will show through - this is not a new construction. However because of that it is also pretty quiet by midtown standards, and features original restored beautiful hardwood floors. Sofabed in the living room, Queen"
17570,Beautiful private home in the center of the world
17707,One block from World Trade Center in the very hype TriBeCa area. Two bedrooms luxury apartment fully furnished.non smoking and no pets aloud.
17864,Large sun drenched duplex 1 bedroom apartment!
17919,"Beautiful brownstone in the heart of charming Cobble Hill, Brooklyn. The house comes with backyard, grill, two decks, fire place and open plan living parlor floor. Fully renovated, minutes from great restaurants, bars, shopping, parks and subway. A Triplex. The parlor floor has an open plan living space. The second floor has Master Bedroom with king size bed, bathroom with shower and tub, deck and study. Third floor has bedroom with queen bed, third bedroom with bunk beds and trundle and fourth bedroom with twin bed. There is another bathroom on third floor. Both bathrooms have large, vintage bathtubs. There is a washer/dryer on the third floor. Access house up the stoop. Guests will have their own privacy. If they need assistance there will be contact numbers we'll leave them. Cobble Hill is a charming neighborhood is Brooklyn. There are many great restaurants and bars that we can recommend. There is great shopping on Atlantic Ave, Court St and Smith Street. Brooklyn Bridge Park and"
17935,"Welcome to Washington Heights! This is a wonderful, vibrant, and exciting neighborhood in Upper Manhattan. When you stay here, you are a 5 minute walk to the 175th St A-Train or the 181st St 1-Train. You can get to Central Park in 15 minutes or Times Square in 25 minutes with the A Train express. Upper Manhattan allows you to be close to all the New York action with more space and better pricing! The room is in a 2 bedroom apartment. It is a super comfy Casper Mattress with high quality bedding! My bedroom is the larger of two. I have a king size bed with high quality sheets and bedding. My items are in the closet but there is space to spread out with your suit cases. We have a washer and dryer so you can keep your clothes clean. I also have shower supplies. Teatree Mint Shampoo, Organic Mint Conditioner and various body wash with wash cloths and towels. I will not be there but my roommate will be there to let you in and give you keys. I am available by phone or FaceTime! I would glad"
17967,"This lovely, spacious 4BR/3BA triplex is wonderful gem near the Empire State Building. The master bedroom features a balcony that overlooks a private, peaceful back garden that is accessible from the living room. A wonderful oasis in the center of Manhattan! This lovely 4BR/3BA triplex is spacious and quiet. Walk into a spacious living room with floor to ceiling windows that open onto a lovely terrace facing the peaceful back garden. The kitchen is equipped with top of the line appliances and all you will need to prepare meals in this modern kitchen. The master bedroom has a king bed with full bath en suite and a private balcony overlooking the back garden. The 2nd bedroom has a queen bed and a full bath en suite and the 3rd bedroom has a queen bed. The fourth bedroom is located downstairs and features a king bed, a queen sleeper sofa, desk and TV. The 3rd bathroom is just outside in the hallway of this bedroom. There is a washer and dryer in the laundry room. The apartment is c"
18055,"If it is available on instabook then you can proceed with booking as it means it is available. Of course you can message me but if you're on a time crunch, no need to worry as I check my phone 24/7 and will see you booked and will get in contact right away :) My place is close to Chelsea Market Madison SQ Garden, World Famous Macy's, etc. You’ll love my place because of the location and the ambiance. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups. Entire apt. Terrace is off limits after 10pm due to respect for neighbors High line, Chelsea market, habits center, Hudson yards, tons of great restaurants and bars. We have everything, most convenient city in the world!"
18085,"In the heart of Upper east Side, 3 blocks from Central Park and 5th Avenue. Brand new renovation, 3 bedrooms with 3 bathtrooms. The modern kitchens with full-size appliances are fully equipped for cooking, serving and dining for up to eight people The suite has a washer-dryer in unit. In the common area, the kitchen, dining room, and living room are accompanied by a balcony that gives you views of the New York skyline. There is a huge flat screen TV in teh living room. Wifi."
18448,"We rent only to responsible guests who want the best of New York in a quiet, quality environment. Accordingly, we do ask our guests to provide a description of themselves and their party in terms of profession and backgrounds. Everything about this apartment is top of the line, first class and immaculately clean. Features stunning 180 degree postcard-perfect views over Central Park. Two master bedrooms feature private en-suite bathrooms. MY PRICES ARE FIRM AND I DO NOT OFFER DISCOUNTS Features stunning 180 degree postcard-perfect views over Central Park. Two master bedrooms feature private en-suite bathrooms with new designer linens and towels. Beds and mattresses are new as is all furniture, floor coverings and accessories. Kitchen is all new Miele appliances, perfect for private dining or entertaining. Located within the Five Star Hotel, recipient of the Michelin Guide's AAA Four-Diamond Award. Complete with all the amenities of a five-star hotel, including concierge, restaurant, he"
18534,"(Phone number hidden by Airbnb) 's brick building with hand-built, reclaimed metal and wood features, art, vintage furniture and plenty of character, great for photo & film shoots. 1,600 sf. white-brick walls, wood floors with sunlight by day and warm lighting at night. Bathroom with 3 stalls, 2 urinals. Also included is a 600 sf. wooden deck, on a 1,800 sf. open roof. All the furniture in the photos are included and are available for use. We also offer the entire building with a 74 person capacity in this listing: https://www.airbnb.com/rooms/15307748 Our friendly location manager is always available during your rental as needed. We're located 1 block from Whole Foods and the Apple Store, and 3 blocks from the Bedford L train. 50 person maximum capacity at any time, midnight end time for all music events. Absolutely no overnight stays, we are a film & photo studio only."
18566,"Known as ""The Love Shack"" or ""A Little Palace in Brooklyn"", this 1000 square foot loft features 2 life-size dollhouses and 3 very friendly cats to keep you company, located in trendy Bushwick. Note: We are only renting our space as a photography location and small party and event space at this time, with no overnight availability. These rentals occur at the rate of $200/hour for all time in the space (from setup to breakdown) with a 4 hour minimum ($800) - or alternatively, $1800 for a ten hour day. Also note: We have a brand new HEPA Alen Breathesmart Air Purifier specifically to eliminate dander and other allergens, which is always running. So most people with allergies don't have a problem in the space, even though our three babies live here. :) As featured in Time Out magazine: Our 1000 square foot loft has two life-size dollhouses and many other delightful touches! Welcome to our one-of-a-kind human dollhouse lofts. There are four unique small rooms to shoot in/cosy hangout spa"
18603,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenue, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and centers! This space is close to Grand Central Terminal, 5th Ave (shopping!!!) and the New York Public Library. A perfect destination for couples, solo adventurers, families and business travelers!! An intimate lobby, serene surroundings, limestone baths, rain showers, and plush bedding are just a few of the amenities you'll enjoy at my Wyndham Midtown 45 condo. Guest amenities and services include: Business Center Enjoy spectacular views from the 33rd Floor Sky Lounge, featuring indoor and outdoor seating. Open daily from 7AM- 11PM Complimentary coffee, tea, and infused water served throughout the day in the lobby Flat Screen HD televisions in every living room, bedroom, and bathroom Complimentary Wifi Internet in all guest rooms,"
18746,"Beautiful Room available in the Village of Harlem NYC. Extremely well kept and expects nothing less from its guests. Private room and shared bathroom are available along with open living room and kitchen amenities. At this special Harlem location one is given the calm still at peace environment in the mix of convenient transportation, local restaurants, activities and shopping. The bathroom and living room are the designated shared places This apartment is preferably for short term stays."
18886,"This space is immaculate for families, business travelers or large groups alike. It is a pristine townhome on one of the most historic, charming cobblestone streets in the heart of the West Village. Spread across 4 floors, with a fully renovated kitchen, outdoor garden, media room on the ground level and the accessibility of all of Downtown New York, we provide you with everything you need for your stay and are always here to help along the way. We looking forward to hosting you! The space is a brand-new, renovated 4 bedroom townhouse in the heart of the west village. Guests will have unrestricted access to the entire home, as well as the patio space outside. We are fully available when needed 24 hours per day, 7 days per week. Please do not hesitate to reach out whenever you have a question or concern! Price includes an additional damage protection insurance. We won't ask for security deposit, instead you are protected for any incidentals. Upon booking we will ask for some informati"
18952,"A beautifully renovated Swiss Chalet style house on Manhattans' upper east side . The perfect balance of high style and at home coziness . A spectacular private space for entertaining or for an intimate couples getaway . Also available for your next party or catered event with 1,700 square foot indoor space and 800 square foot outdoor space . Events are priced separately . Extended stay available .Please contact host for details . Your Luxury NYC Home Away From Home This secluded oasis two blocks from the hustle and bustle puts you close to all mass transit , major shopping , great restaurants and exciting nightlife . Every detail has been considered from the luxury beds , cozy upscale design , gourmet kitchen wood burning fire that creates the ideal environment to entertain even if it's just you and yours . Three outside spaces , a Juliet balcony , kitchen terrace and a spacious courtyard leading to the hot tub create this brilliant party space . Our main living area with 28' A f"
19090,"If you've always wanted to visit New York City but do not want to spend too much time getting to the center of the action then this listing is for you. We have a first floor one bedroom apartment 10 minutes from Times SQ and main transportation hub (Penn Station, most subway lines, Port Authority bus terminal). More information The apartment is in a convenient location with plenty of coffee shops and dining options to choose from."
19357,"""The elevator opened into the living room, which was sparsely but stylishly furnished with caramel-colored leather couches and bright, extroverted art work,"" begins the New Yorker description of our home. Our uniquely spacious & artfully appointed loft is a quiet retreat in the center of the action in downtown Manhattan. Equidistant from the amenities & transport hub of Union Square and the greenery and calm of Washington Square Park, you'll love it! Once a hat factory - now a beautiful loft. The apartment occupies the entire 6th floor, with the elevator opening right into the unit. Its West facing windows to the living room provide unrivaled natural light. It also features a selection of site-specific art. Its two living rooms and open kitchen are fantastic for comfortable and relaxing meals. It's a beautiful space for yoga, work or rest with day beds, couches and open space. The kitchen is spacious, with plenty of room to cook and socialize. It is fully stocked with cooking equipment"
19851,"Luxury 3 bedroom, true two floor duplex apartment. Fully renovated Brownstone, 1050 square feet, with beautiful outside patio. Two queen and one full-sized bed. Also, L-Shaped couch. Perfect for a Broncos or Seahawks family! Comfortably fits six."
19918,"This space is NOT for overnight guests. It is a gallery space with a 75 person event capacity, 10am-9pm In Chelsea’s energized art district our versatile, sun drenched white gallery space is a leading venue for creative events, art exhibitions, fashion presentations, photoshoots and fundraisers. Look us up! Rogue Space Chelsea Adjacent to the Highline and in the center of the art world, we have the space and ambiance to help you connect with the New York and global communities. As a socially conscious enterprise, each show at Rogue Space | Chelsea supports our art projects empowering children in conflict zones around the world through our humanitarian wing Rogue Foundation. All access and private for guests. Chelsea is the art capital of the world and the area if full of interesting creative work and people and has man great restaurants and galleries to enjoy. We are close to the E train on 23rd and 8th and the crosstown 23 Bus line."
19958,"Exquisite townhouse with modern furnishings, art and design pieces. A mix of modern and historic detail situated right off Prospect Park in kid- friendly, landmarked neigborhood of Park Slope. 20 min ride to Soho, close to many subway lines. Located on a quiet tree-lined street in the heart of the landmarked part of Park Slope, our house is just steps from Prospect Park, the 7th and the 5th Avenue with its boutiques, restaurants and cafes. Explore one of Brooklyn’s most vibrant neighborhoods and if you want to go to Manhattan, hop on the subway and be there in 15 min. Enjoy great dining options on 5 & 7th Avenues restaurant rows. On the parlor floor we have large living/entertaining area, a dining room and a windowed kitchen overlooking the backyard. On the second floor there is a TV room with a large sofa and a giant master bedroom, both with cable TV and flat TV’s. There is also a master bathroom. On the third floor, there are 3 bedrooms, an office and a bathroom. We also have a"
20060,"We are proud to offer our elegant & modern CENTRAL PARK BROWNSTONE / TOWNHOUSE for discerning guests. Enjoy this rare and luxurious opportunity to experience living in an authentic NYC 19th Century TOWNHOME on 3 FULL floors with 4 Bd & 2.5 Ba & Private Backyard + Deck, even an 80” TV! Only 2 BLOCKS TO CENTRAL PARK, MorningSide PK, (2,3,B,C Subway lines) Museums, COLUMBIA UNIV, Fine Dining etc. 2400+ square foot True Manhattan Townhome triplex! Huge open space with extra high ceilings. Modern yet classical. Meticulously decorated yet quite comfortable. Three full floors of luxury living space to enjoy while vacationing in the Big Apple. Huge glass wall leads to Gorgeous deck on Parlor level and Juliet Balcony on the 2nd level. Backyard is an incredible oasis in the midst of Manhattan. High tech security system also included with cameras. Extra large Jacuzzi tub, and so much more! Also, worth noting, is that we have NEVER used any guest's security deposit at all, as we have had a"
20093,"These suites feature 929 sqft of interior living space, plus a furnished private terrace of 700 sqft. Suites bestow a soothing ambiance and include custom furnishings and fine finishes. Living areas feature comfortable seating in luxurious custom fabrics; original hand-selected artwork, and white oak hardwood floors. Living room opens to a private wraparound balcony showcasing iconic NYC views. Kitchen includes a full complement of upscale kitchen appliances and accessories, including a half refrigerator, dishwasher and dual burner induction cooktop. Bedrooms include one king (Master) and one queen size bed (2nd bedroom) with sumptuous bedding and pillow selection, Mecho room-darkening window shades and floor-to-ceiling sheer daylight curtains. Luxury extends into the marble bathrooms which feature walk-in glass showers, plush towels, luxurious bath products, and cozy bathrobes. State of the art electronics include large TVs with AppleTV and streaming music/video capabilities. a.lounge"
20320,"LUXURY ONE BEDROOM WITH CENTRAL PARK-FACING VIEW (750 sq. ft) DETAILS: Designer-decorated luxury one bedroom features queen-sized bed with premium mattress, feather-filled pillows and modern furniture and lighting. Full-sized sleeper sofa, located in the living room, sleeps two people. This quiet Upper West Side apartment is located on a high floor overlooking Central Park with floor to ceiling windows and 11' ceilings. LOCATION: The Upper West Side is an upscale, primarily residential area home to New YorK City's cultural (Metropolitan opera, Juilliard school of dance, drama & music), intellectual hub (Columbia university) and artistic workers (Lincoln center). Great atmosphere and so many great restaurants, wine bars and coffee shops. Not to mention the night life...The UWS is a hip yet mature place to be. It is really changing with the addition of all the new development condos going up, this place is a meca of ultra luxury super high end condos. UWS is also known for landmark buil"
20416,"This is the home you have been waiting for! This elegant duplex loft features 14' ceilings, over 1600 square feet of living space, rare rooftop space, two king-sized bedroom suites, and two and a half bathrooms. The floor-to-ceiling windows in the living room have West and South exposure, so there's no shortage of natural light. The bedrooms are on separate levels nestled in the back of the unit (pin-drop quiet) with en-suite bathrooms. Brazilian walnut flooring throughout. A wall of floor to ceiling windows is framed by decorative ironwork from the buildings cast-iron replica facade. There is central AC in the living/dining/kitchen and remote AC units in the bedrooms for custom climate control. The apartment gets East, West and South exposure with full city views! Other features include vented washer/dryer, keyed elevator, and security system. The building is a small boutique condo building with only full-floor loft residences in one of SoHo's original 19th century cast iron building."
20435,"The penthouse enjoys a spacious living room, extended dining room, two roof decks with gorgeous, Manhattan-skyline views and two professionally-decorated bedrooms. Artfully appointed with classic photography & vintage guitars. Located in prime East Village, you'll have access to the best food in the City and transport hubs to easily carry you throughout Manhattan. It's the ideal apartment for family and friends. Idyllic, luxurious, and ideal for small events. A musician-inhabited 2 bedroom penthouse apartment in the heart of the Lower East Side. Located in a modern, doorman building, it's the ideal place for a vacation with family or friends. It's filled with instruments and art. You'll love the large windows and natural light during the day and the city skyline at night. The apartment stretches out with an expansive rooftop patio with grill and dining area. The empire state positively gleams from the balcony -- there's no better place to spend a summer night. The wide kitchen extends"
20752,"Renovated 2 bedroom 2.5 bath 2,000sq. ft loft with top of the line finishes. The true feel of a NYC Loft in an amazing centralized location! Located on the corner of West Broadway and Grand this apartment is located walking distance to famous restaurants, bars (Mamo, Felix, Il Mulino, Cipriani Downtown) and shopping and is a close distance to major subway lines (6, A, C, E, 1, 2, 3, N, Q, R). Three TVs, spacious living room & kitchen (Miele appliances) washer/dryer, spa tub, steam shower. Guest access to 2 of three bedrooms (one bedroom which is the baby room will be locked off) I maynot be available in person but will communicate as much or as little as needed!"
20773,"*Please read our entire listing description for this venue which includes complete pricing information. Host up to 100 guests for a private party or corporate event at my full-floor loft in Midtown. My warm, comfortable and handsomely decorated 3,000 square foot space boasts everything you need for a special celebration, guys night out, off-site meeting, photo/film shoot or film screening. **We do not allow overnight stays. My loft occupies an entire floor in a commercial building in the heart of Midtown Manhattan. Rent the entire space for up to 100 guests. The venue features state-of-the-art audio/visual equipment, built in music, comfortable vintage styled seating, two bar station, full kitchen, game room and lounge area. Hardwood floors, exposed brick walls and expansive windows create a warm and welcoming environment. The venue is fully equipped with the following amenities: vintage styled sofas, two restrooms, two bars, 20 x 20ft projection screen, 55"" flat screen smart TV, c"
20868,"Gorgeous single family private townhouse located in Carnegie Hill, Upper East Side. Short walk to NYC's famed Museum Mile and Central Park and Madison Avenue shopping. Close to top schools and primarily a residential area. Very close to two Subway lines 4/5/6 (green) and the new Q train (yellow). Gorgeous single family private townhouse located in Carnegie Hill, Upper East Side. Short walk to NYC's famed Museum Mile and Central Park and Madison Avenue shopping. Close to top schools and primarily a residential area. Very close to two Subway lines 4/5/6 (green) and the new Q train (yellow). Full floors built 65’ deep – so there’s a lot of space - a premium for Manhattan! 4 large bedrooms, all with their own en-suite bathrooms. Master bedroom has a spa bath. Large parlor floor living room, dining room and large, eat-in chef’s kitchen with breakfast nook. 60’ deep family living room opening to an enchanting private backyard garden with pond. There are laundry facilities (washer/dryer), cen"
21084,"性价比很高的精装公寓(三室一厅,只住3个人)单间转租:想必大家都看了很多转租帖子了,此公寓该有的家具配备全部都有,而且是高配哦,公寓去年8月份新装的~我就简要说一下房间的优点和廉价吧: 优点: 1, 交通很便利,很便利｡公寓位置:106&Amsterdam路口处｡Broadway 110街,103街地铁站步行5分钟｡哥大校园步行12分钟,超级高富帅的有机食品兼日用品超市Wholefoods步行5分钟,哥大学生最爱的Westside Side 超市步行5分钟｡各大银行､通讯商营业点都在"
21183,"Cozy apartment just a 7 minute walk from Brooklyn's famous Prospect Park. Perfect for the Springtime & Smorgasburg food festival on Sundays! Few blocks from B,Q, and Shuttle train only 4 stops to Manhattan! Bring your friends- we have a futon as well You and your friends can share this entire 2 bedroom apartment in Brooklyn right next to the famous Prospect Park! Anytime through the first three weeks of May. One bedroom is available with a twin sized bed with a comfy memory foam mattress topper, big window with lots of natural light, closet and a rack to hang your clothes (hangers included), 3 small drawers, a mirror, and a shoe rack. Comfortably can host 1-2 person in this room. The second bedroom comes with a comfy full sized bed with a memory foam mattress topper, 2 very big windows for lots of natural light, a closet, and vanity/dresser. Comfortably can host 2-3 people in this room. You will have full access to the 2 bedrooms, kitchen, living room, and bathroom. Essential kitchen"
21344,"Large bedroom with California King bed, full bathroom, in a two bed/bath duplex. Seconds from Central Park, Minutes from the 1,2,3,B,C Subway lines. Charming, Calm, Clean, Quaint and Spacious. This is a duplex! 1st floor: Bedroom with queen size bed, closet, dresser, mirror Dinning room with table and living space with couch Full clean bathroom fully stoked kitchen 2nd floor: Bedroom with California king bed, shelfs Large Den with couch and room for extra mattress Clean Bathroom - second shower Access to the backyard - huge bonus in NYC Access to the laundry room - steps away We will meet you to give you the key. 24/7 Beautiful neighborhood, quite, relaxed and friendly. Steps away from Central Park, and extremely convenient to subway and public transportation. Whole foods is around the corner, as well as many cute restaurants and coffee shops. 1,2,3 and C,B subway lines - 3mins away 96 Crosstown Bus"
21377,"Located in the beautiful Upper West Side neighborhood of Manhattan, with stunning views of Central Park, this Designer-decorated luxury one bedroom features a king-sized bed with premium mattress, feather-filled pillows and modern furniture and lighting making it the perfect city retreat. The interior of this unit was carefully planned and decorated with Danish modern furniture, warm wood and soft lighting providing a perfect relaxing escape from the stresses of city life. This 740-Square-Feet interior was carefully planned and decorated with Danish modern furniture, warm wood and soft lighting providing a perfect relaxing escape from the stresses of city life. The bedroom is spacious with large closets perfect for keeping all your clothes and luggage neatly organized. The kitchen is a food lover's dream, it is fully-equipped with all kitchen tools and accessories to make your favorite meal. It also has a Nespresso coffee machine. We use text messaging to interact with our guests."
21405,"Newly renovated 3 Bdrm, 2 full baths, kitchen. Home can sleep up to 8 w/pullout, additional beds could be supplied. Half hour from Superbowl stadium (31 miles), ideally located for NYC visitors. Basic TV and attached garage. Airport pickup possible."
21602,"These spectacular one bedroom, one and half bath penthouse residences boast mahogany hardwood floors, multiple exposures, coffered ceilings, solid wood doors and elegant crown moldings. Decorated in a sophisticated, timeless style and appointed with an impressive selection of furnishings and accessories, these apartments are a wonderful environment for entertaining. Bright kitchens feature granite counters with stainless steel, top of the line appliances; marble bathrooms include glass enclosed showers (some with tubs) and Bulgari bath amenities. Large screen TV’s are in the living room and bedroom. A.LOUNGE Our Midtown bar and lounge, a.lounge was designed by acclaimed design house Meyer Davis Studio. A.CINEMA a.cinema is an intimate 8-seat screening room, designed for the viewing pleasure of the residents. Sink into the oversized reclining seats and watch a film of their choice, or enjoy a from our weekly screenings for residents, chosen from resident requests as well as a carefully"
21692,"ONEFINESTAY is proud to present this 3 bedroom apartment in New-York. Our team is available 24/7 to answer any question you have. Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Union Terrace is a three bedroom, three bathroom home in the East Village. Inside, you’ll find wood-framed sash windows, pale wood floors and a stylish mix of painted and exposed brick walls. The kitchen has a ceiling of dark wood beams, a breakfast bar lined with stools and a dining area seating eight. Step through the glass doors onto a paved terrace set with chairs and sun loungers. The East Village is an effortlessly cool Manhattan enclave, packed with boutiques, restaurants and coffee stops. Nearby, you’ve got the equally trendy Lower East Side and Greenwich Village to explore. The Union Square subway station is a five-minute walk away from this apartment. Size: 198 m2. Amenities: Iron Ironing Board, Bed Linen Towels, Toi"
21716,"Our loft is a unique private 2,000+ sq ft event space conveniently located in the heart of the Lower East Side. Combined with a gorgeous rooftop lounge this event space is the perfect location to host your cocktail party, concert, yoga class or art gallery event. Capacity- 150 people 867 Square Feet Indoor Event Space: 867 Square Feet AMENITIES: -Private Space -Bathroom -Sound system (live music welcome) -Kitchen, perfect for catering -Large Island Counter for Buffets and Bar -Large Conference Room Table -Central Air Conditioning -Central Heat -Bare Walls -Movable Art Hanging Hooks -Natural Lighting -Track Lighting -Colorful LED lighting (for parties) -Ambient Lighting YOUR HOSTS: We are two Filmmakers interested in creating a comfortable, unique environment for various NYC events. Our space is an open, ambient, light filled loft ideal for your next event. Whether you need the space for a private party, intimate show, art gallery event or yoga class- we'd be happy to host you f"
21936,"This 4bed/3bath duplex Townhouse garden apartment sleeps 14 and is perfect for large groups/families that need more space and want to be together and have a full kitchen and dining room to share meals. Very close to the subway, tourist attractions This 4 bed/3 bath Duplex Townhouse Garden Apartment sleeps 14 and is perfect for large groups/families that need more space and want to be together and have a full kitchen and dining room to share meals. The garden is well landscaped and has another table and chairs to dine outside in the peaceful Upper West Side of NYC. There is a BBQ grill as well for those that like to BBQ. The apartment/neighborhood is very quiet and the townhouse is on a rare cul-de-sac in Manhattan. We have a key box for convenience, we also have two supers that are accessible for help as needed. 24 hour check in. We are always accessible via email and phone. We also post our caretakers contact info on the fridge. We own and rent this property when we are traveling."
22083,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenues, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and business centers! This space is situated close to Grand Central Terminal, 5th Ave (shopping!!!) and the New York Public Library. A perfect destination for couples, solo adventurers, families and big groups! An intimate lobby, serene surroundings, limestone baths, rain showers, and plush bedding are just a few of the amenities you'll enjoy at my Wyndham Midtown 45 condo. Guest amenities and services include: Business Center Enjoy spectacular views from the 33rd Floor Sky Lounge, featuring indoor and outdoor seating. Open daily from 7AM- 11PM Complimentary coffee, tea, and infused water served throughout the day in the lobby Flat Screen HD televisions in every living room, bedroom, and bathroom Complimentary Wifi Internet in all gue"
22142,"At this Sonder, you'll love the mid-century decor, exposed brick, recently-installed air conditioning, and the modern kitchen. This townhouse is in the Upper East Side, known for its world-famous attractions and close to the subway. Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay. Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay. The Upper East Side has plenty to offer within walking distance. Try out Maya or Vaucluse for some of the city's best dining. For shopping head over to Madison Avenue only a few blocks from your apartment. To discover the rest of the city just grab the subway with two different stops only an 8-minute walk away. The Upper East Side"
22146,"Looking for a subletter for a private bedroom in the financial district. Subletter must be willing to stay the full four months. Rent is approximately $1,700 monthly, including utilities and internet/cable. Located down the street from many major subway lines. The room is available from September 1 to end of December/mid January."
22240,"- 5-min walk from Bedford-Nostrand G stop. - Street parking available - Roof access for Manhattan skyline view - Grocery store, Duane Reade, Chase, Dough, Home Depot, cafes, bars, and restaurants in walking distance. - Very safe - code entry door to building, lift access straight to apartment door (literally the lift doors open up onto apartment door) - Projector/TV for Netflix :) Kitchen, bathroom, and living room area will be shared with me and my female roommate. We are both mid-20s Asian professionals. We both work regular 9-6 hours. Most nights I'm out doing my own thing (gym, friends, drinks, etc) so apartment will likely be yours during the day. I'm personally only home on weekends - weeknights I'm consistently out until 10-11. I never bring the party home. I'm pretty sociable but still appreciate everyone's alone time. Tidiness and cleaning up after yourself is a huge plus."
22355,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenues, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and business centers. This space is situated close to Grand Central Terminal, 5th Ave (shopping!!) and the New York Public Library. A perfect destination for couples, solo adventurers, families and big groups!! Seamlessly merging serene surroundings with an enviable location in the heart of vibrant midtown Manhattan, our 2 Bedroom Presidential fully updated condo boasts boutique-style elegance and a premier address just steps from everything that this world-renowned city has to offer. Located in the epicenter of midtown Manhattan, you’ll experience express dry-cleaning, valet service, business center, fitness center and rooftop views of New York. A complimentary beverage station serving coffee, tea and fruit infused water is served throughout the day in"
22417,"This luxury furnished apartment is complete with a fully equipped kitchen, living room and bedrooms. Enjoy magnificent views of the East River and the Manhattan skyline. Indulge in the sauna, message room, and fitness center overlooking the pool."
22433,"Gorgeous 3 Bedroom connected to a Garden. This is a true New York treasure, spacious; view; outdoor Space! This stunning garden apartment is located in a private building that is centraly location in Manhattan. With 3 bedrooms; 3 Bathrooms; and a private garden. Showcasing beautiful luxury finishes sleeps, and up to 10 guests. Breathttaking Vies not only in the apce; but the out doors as well. Very rair find for New York City. This landskape is a great get-away, home away from home, and perfect to host other friends/guests and entertain. In this space you can experience it all! Herald Square is just to the West; Times Square to the North; followed by the East River to the East. You can Hit every corner and angle for a brilliant experience. Herald Square offers outstanding shopping, some examples: from Macy’s to the Manhattan Mall, and the excitement of the globally known famous theater district. Located at the nearby Times Square. Induldge in the rows of ethnic restaurants along side"
23034,"DETAILS: Designer-decorated luxury one bedroom features queen-sized bed with premium mattress, feather-filled pillows and modern furniture and lighting. Sofa, located in the living room, sleeps one person. This is a quiet Upper West Side apartment. LUXURY ONE BEDROOM WITH CENTRAL PARK-FACING VIEW (750 sq. ft) DETAILS: Designer-decorated luxury one bedroom features queen-sized bed with premium mattress, feather-filled pillows and modern furniture and lighting. Sofa, located in the living room, sleeps one person. This quiet Upper West Side apartment is located on a high floor overlooking Central Park with floor to ceiling windows and 11' ceilings. LOCATION: The Upper West Side is an upscale, primarily residential area home to New YorK City's cultural (Metropolitan opera, Juilliard school of dance, drama & music), intellectual hub (Columbia university) and artistic workers (Lincoln center). Great atmosphere and so many great restaurants, wine bars and coffee shops. Not to mention the ni"
23046,"We are gone for XMAS! Looking to rent our place 1x in a 30 day period to comply with NY law. As an interior designer our home is in essence my business card. As such it boasts many hand-crafted details as well as the latest in home automation and represents a huge labor of love! Our flat is split level between the garden level and ground level floors and a total 2,400 sqft! There is a beautiful downstairs patio and an ground level backyard with an herb garden and grill! The upstairs of our home is the ground floor, and is approx 1,600 sqft and is where the 2 bedrooms are located (master suite and guest bedroom) as well as the master bathroom and guest bathroom. The rest of the upstairs is a frosted glass office as well as the living room, dining room and kitchen. The master bedroom has a king size tempurpedic mattress. The guest bedroom is a trundle bed that when collapsed is a twin, and when expanded is a king, also high quality memory foam mattress Downstairs is the gym and entert"
23445,Cute space with plants and art
